ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);"PM10 
(ug/m3)";"PM2.5 
(ug/m3)";SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 14:00;2341.74;14.91;24.54;56.30;5.54;2.62;6.18;92.37;0.34;96.10;-12.11913;-77.02885;1003.25;16.96
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 15:00;2648.93;14.24;25.64;54.20;6.80;3.00;9.49;89.72;0.30;96.10;-12.11913;-77.02885;1002.63;17.15
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 16:00;2748.05;14.09;27.23;52.78;10.38;4.14;9.58;90.07;0.17;96.10;-12.11913;-77.02885;1002.04;17.20
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 17:00;2878.42;13.56;29.74;47.24;11.22;5.04;11.02;91.36;0.08;96.10;-12.11913;-77.02885;1001.87;17.34
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 18:00;2762.54;14.85;31.39;41.30;9.13;4.34;9.75;90.43;0.00;96.10;-12.11913;-77.02885;1002.07;17.03
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 19:00;2556.29;16.33;33.11;37.37;6.38;3.55;8.43;92.48;0.00;96.10;-12.11913;-77.02885;1002.60;16.68
21;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 20:00;2498.00;16.89;31.99;41.67;6.12;3.45;7.73;93.23;0.00;96.10;-12.11913;-77.02885;1002.74;16.55
22;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 21:00;2438.05;17.53;31.38;42.31;5.68;3.65;7.01;90.34;0.00;96.10;-12.11913;-77.02885;1003.12;16.39
23;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 22:00;2248.27;18.22;29.49;41.79;5.38;3.31;5.64;94.58;0.00;96.10;-12.11913;-77.02885;1003.41;16.21
24;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 23:00;2022.49;18.36;25.86;43.05;4.48;2.54;3.93;83.18;0.00;96.10;-12.11913;-77.02885;1003.38;16.14
25;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 00:00;1933.01;18.43;23.73;39.75;4.91;2.44;3.67;76.25;0.00;96.10;-12.11913;-77.02885;1002.91;16.11
26;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 01:00;1833.76;17.86;21.66;40.24;5.09;2.25;3.07;71.98;0.00;96.10;-12.11913;-77.02885;1002.26;16.23
27;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 02:00;1814.03;17.54;21.20;38.33;10.11;3.87;3.23;60.67;0.00;96.10;-12.11913;-77.02885;1001.60;16.29
28;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 03:00;1759.95;17.69;21.08;46.01;9.84;3.78;2.51;59.07;0.00;96.10;-12.11913;-77.02885;1001.31;16.25
29;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 04:00;1771.06;18.48;21.99;42.21;7.11;2.85;2.90;52.09;0.00;96.10;-12.11913;-77.02885;1001.26;16.08
30;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 05:00;1799.49;18.18;23.05;39.85;8.98;3.63;2.78;60.86;0.00;96.10;-12.11913;-77.02885;1001.36;16.15
31;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 06:00;1878.21;17.23;24.43;29.83;5.96;2.70;3.23;82.99;0.00;96.10;-12.11913;-77.02885;1001.89;16.38
32;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 07:00;2201.15;16.12;28.70;32.39;6.16;2.83;6.00;88.05;0.00;95.96;-12.11913;-77.02885;1002.30;16.67
33;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 08:00;2501.92;14.17;30.03;40.67;6.94;3.05;8.50;92.83;0.06;93.14;-12.11913;-77.02885;1003.10;17.16
34;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 09:00;2465.89;11.15;23.59;43.90;6.40;2.92;7.98;91.43;0.22;88.96;-12.11913;-77.02885;1003.71;17.82
35;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 10:00;2995.96;10.22;23.02;59.14;8.04;3.53;12.26;97.90;0.30;87.22;-12.11913;-77.02885;1003.76;18.10
36;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 11:00;2839.62;11.27;24.72;57.98;10.76;4.15;10.92;98.12;0.36;90.16;-12.11913;-77.02885;1003.46;17.84
37;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 12:00;3271.06;9.88;25.07;67.38;10.36;4.13;14.98;92.35;0.38;89.60;-12.11913;-77.02885;1003.22;18.22
38;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 13:00;3218.04;9.35;23.39;66.17;7.92;3.28;14.29;91.30;0.37;88.63;-12.11913;-77.02885;1002.70;18.33
39;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 14:00;2613.35;11.58;23.73;58.74;8.78;3.34;9.14;89.32;0.38;92.94;-12.11913;-77.02885;1002.32;17.74
40;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 15:00;2847.40;12.25;28.52;63.37;9.57;3.81;10.63;91.07;0.27;93.97;-12.11913;-77.02885;1001.85;17.64
41;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 16:00;2791.15;15.34;29.98;55.39;7.62;3.05;10.09;92.57;0.13;96.04;-12.11913;-77.02885;1001.98;16.93
42;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 17:00;3063.14;15.05;29.74;59.16;10.27;3.68;12.05;90.69;0.09;96.10;-12.11913;-77.02885;1002.23;17.03
43;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 18:00;3118.95;14.94;28.92;55.00;7.31;2.99;12.29;91.69;0.00;95.60;-12.11913;-77.02885;1002.71;17.06
44;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 19:00;3248.15;14.58;27.76;51.82;9.02;3.59;13.75;92.33;0.00;94.23;-12.11913;-77.02885;1003.32;17.16
45;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 20:00;3008.90;14.37;26.83;50.90;7.78;3.14;11.93;88.80;0.00;94.65;-12.11913;-77.02885;1003.76;17.17
46;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 21:00;2574.88;14.47;25.93;50.24;7.18;3.04;8.46;92.06;0.00;95.01;-12.11913;-77.02885;1003.97;17.09
47;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 22:00;2331.85;14.95;23.90;46.69;7.07;3.11;7.06;86.52;0.00;95.87;-12.11913;-77.02885;1004.08;16.95
48;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/06/2021 23:00;2077.67;15.68;22.87;42.35;6.63;2.99;5.57;74.81;0.00;96.10;-12.11913;-77.02885;1004.03;16.76
49;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 00:00;1979.84;15.79;21.34;37.68;5.37;2.56;5.05;70.06;0.00;96.10;-12.11913;-77.02885;1003.81;16.72
50;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 01:00;1856.99;15.43;21.57;34.91;6.03;2.74;4.08;62.49;0.00;96.10;-12.11913;-77.02885;1003.60;16.78
51;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 02:00;1793.82;15.08;19.59;29.35;3.69;2.00;3.47;65.58;0.00;96.10;-12.11913;-77.02885;1002.78;16.85
52;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 03:00;1783.65;15.14;20.62;29.38;7.81;3.34;3.57;80.11;0.00;96.10;-12.11913;-77.02885;1002.44;16.83
53;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 04:00;1815.83;15.57;21.11;32.32;6.06;2.59;4.10;57.69;0.00;95.90;-12.11913;-77.02885;1002.21;16.74
54;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 05:00;1794.96;15.16;21.60;27.01;3.71;1.79;3.29;57.07;0.00;95.41;-12.11913;-77.02885;1002.25;16.83
55;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 06:00;1965.37;15.28;27.63;26.13;4.77;2.19;4.98;82.63;0.00;95.40;-12.11913;-77.02885;1002.65;16.83
56;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 07:00;2443.65;14.83;31.67;32.10;6.56;2.78;9.05;88.26;0.00;95.50;-12.11913;-77.02885;1003.03;17.01
57;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 08:00;2897.92;12.95;28.42;44.79;7.15;3.10;13.16;92.45;0.08;93.37;-12.11913;-77.02885;1003.54;17.50
58;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 09:00;3201.92;9.42;23.80;57.50;7.30;3.10;14.19;92.36;0.18;87.86;-12.11913;-77.02885;1003.93;18.32
59;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 10:00;3054.54;9.19;24.16;60.40;11.21;4.44;12.74;94.89;0.26;87.61;-12.11913;-77.02885;1004.16;18.34
60;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 11:00;2937.67;11.30;28.22;61.44;17.57;6.15;11.32;97.85;0.23;91.32;-12.11913;-77.02885;1003.89;17.85
61;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 12:00;2792.92;11.18;24.88;60.95;12.57;4.73;10.39;91.92;0.38;92.57;-12.11913;-77.02885;1003.62;17.87
62;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 13:00;2871.00;8.79;17.30;71.41;5.40;2.70;11.81;93.29;0.60;90.06;-12.11913;-77.02885;1003.24;18.41
63;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 14:00;2536.86;9.82;18.44;71.72;5.58;2.80;8.49;96.09;0.63;92.20;-12.11913;-77.02885;1002.77;18.12
64;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 15:00;2606.31;9.02;17.86;80.43;5.97;2.64;8.74;88.04;0.54;89.91;-12.11913;-77.02885;1002.20;18.31
65;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 16:00;2616.14;11.25;27.52;76.29;6.53;2.75;7.78;93.77;0.25;92.07;-12.11913;-77.02885;1001.79;17.82
66;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 17:00;2519.97;12.28;30.08;82.01;6.47;2.85;6.29;91.48;0.14;94.14;-12.11913;-77.02885;1001.81;17.59
67;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 18:00;2676.53;13.21;31.73;77.26;5.60;2.54;7.15;93.98;0.02;94.77;-12.11913;-77.02885;1002.08;17.40
68;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 19:00;2838.68;12.81;32.70;77.79;7.36;3.53;8.34;92.88;0.00;95.21;-12.11913;-77.02885;1002.68;17.51
69;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 20:00;3160.12;12.30;34.57;68.02;5.82;3.18;11.26;90.63;0.00;94.92;-12.11913;-77.02885;1003.27;17.66
70;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 21:00;2843.06;12.52;31.35;51.41;7.75;3.34;10.10;86.42;0.00;93.84;-12.11913;-77.02885;1003.66;17.57
71;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 22:00;2881.02;12.75;31.52;44.38;8.77;3.88;10.83;82.14;0.00;93.20;-12.11913;-77.02885;1003.89;17.52
72;10069;150122;PE;Subgerencia de Desarrollo Ambiental;3/06/2021 23:00;2391.38;13.06;31.82;37.05;9.45;4.03;6.75;77.04;0.00;93.77;-12.11913;-77.02885;1003.95;17.38
73;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 00:00;1958.37;13.65;25.47;41.92;7.28;3.07;3.96;76.71;0.00;94.26;-12.11913;-77.02885;1003.91;17.20
74;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 01:00;1880.57;14.03;24.21;42.86;6.02;2.90;3.66;63.33;0.00;95.76;-12.11913;-77.02885;1003.72;17.10
75;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 02:00;1853.29;14.03;24.81;39.59;6.48;3.23;3.54;66.79;0.00;96.10;-12.11913;-77.02885;1003.42;17.10
76;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 03:00;1910.21;14.14;25.50;36.18;9.47;4.17;3.58;58.48;0.00;96.10;-12.11913;-77.02885;1003.12;17.07
77;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 04:00;1951.95;14.14;24.70;33.95;9.63;4.45;3.53;64.74;0.00;96.10;-12.11913;-77.02885;1003.02;17.07
78;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 05:00;1923.75;14.03;25.46;31.12;8.80;4.41;3.65;73.34;0.00;96.10;-12.11913;-77.02885;1002.87;17.10
79;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 06:00;2021.20;13.81;27.27;25.62;9.69;5.07;5.42;77.90;0.00;95.72;-12.11913;-77.02885;1003.01;17.17
80;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 07:00;2364.49;13.51;29.26;27.41;13.71;6.68;8.51;90.79;0.01;94.31;-12.11913;-77.02885;1003.30;17.29
81;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 08:00;2722.49;12.00;26.70;39.32;14.21;6.93;11.23;91.59;0.13;89.99;-12.11913;-77.02885;1003.72;17.68
82;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 09:00;2882.11;9.18;23.92;50.97;11.65;6.71;10.43;92.68;0.28;85.74;-12.11913;-77.02885;1004.08;18.30
83;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 10:00;2926.45;6.36;20.95;68.89;11.64;7.00;11.22;94.13;0.49;82.88;-12.11913;-77.02885;1003.98;18.94
84;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 11:00;2690.88;4.95;18.55;86.95;9.02;5.78;8.56;92.75;0.82;81.88;-12.11913;-77.02885;1003.80;19.22
85;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 12:00;2454.99;2.37;14.01;105.16;5.58;3.68;9.46;95.83;1.52;78.78;-12.11913;-77.02885;1003.22;19.77
86;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 13:00;2654.89;2.42;16.91;126.91;5.32;3.97;10.96;98.20;1.73;78.82;-12.11913;-77.02885;1002.51;19.77
87;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 14:00;2473.94;4.44;17.43;144.56;4.74;3.68;8.23;103.53;1.44;82.32;-12.11913;-77.02885;1002.32;19.31
88;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 15:00;2535.25;3.79;17.47;130.13;5.68;3.49;8.73;102.55;0.99;81.58;-12.11913;-77.02885;1001.76;19.48
89;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 16:00;2652.24;2.81;21.70;115.32;6.97;3.46;9.64;101.19;0.58;81.03;-12.11913;-77.02885;1001.23;19.77
90;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 17:00;2571.82;6.56;34.53;104.30;6.83;3.46;5.13;96.50;0.26;83.71;-12.11913;-77.02885;1001.41;18.90
91;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 18:00;2675.43;9.96;43.80;90.02;5.91;3.17;4.85;96.58;0.05;86.28;-12.11913;-77.02885;1002.04;18.16
92;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 19:00;2565.22;11.82;41.24;84.25;4.17;2.75;4.90;97.09;0.00;89.69;-12.11913;-77.02885;1002.95;17.72
93;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 20:00;2818.27;11.74;41.85;81.48;6.26;3.53;7.04;94.89;0.00;89.47;-12.11913;-77.02885;1003.57;17.76
94;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 21:00;2425.87;11.93;35.25;84.23;6.41;3.97;4.27;97.65;0.00;89.66;-12.11913;-77.02885;1004.33;17.65
95;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 22:00;2306.93;12.32;32.04;83.42;5.31;3.32;3.49;92.53;0.00;89.52;-12.11913;-77.02885;1004.63;17.55
96;10069;150122;PE;Subgerencia de Desarrollo Ambiental;4/06/2021 23:00;2143.92;12.91;31.53;70.92;8.23;5.37;3.01;86.03;0.00;90.56;-12.11913;-77.02885;1004.66;17.39
97;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 00:00;1932.49;13.49;28.21;72.02;7.42;4.33;1.80;78.80;0.00;91.09;-12.11913;-77.02885;1004.71;17.23
98;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 01:00;1863.55;13.80;28.25;67.13;7.29;4.53;1.65;81.82;0.00;91.24;-12.11913;-77.02885;1004.48;17.15
99;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 02:00;1796.71;14.40;26.17;61.28;6.66;3.81;1.62;83.33;0.00;91.73;-12.11913;-77.02885;1004.20;17.00
100;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 03:00;1805.03;14.98;26.19;53.10;7.51;4.71;2.11;80.12;0.00;92.08;-12.11913;-77.02885;1003.41;16.87
101;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 04:00;1912.35;15.67;27.79;46.63;9.06;5.84;2.87;72.58;0.00;92.95;-12.11913;-77.02885;1002.67;16.74
102;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 05:00;1877.48;16.21;28.94;46.59;9.01;6.08;3.10;68.73;0.00;94.62;-12.11913;-77.02885;1002.59;16.61
103;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 06:00;1934.73;15.77;30.65;35.99;11.27;7.77;3.82;83.11;0.00;93.64;-12.11913;-77.02885;1003.13;16.72
104;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 07:00;2062.89;16.37;32.97;45.63;7.42;5.39;4.34;89.48;0.00;93.81;-12.11913;-77.02885;1004.18;16.61
105;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 08:00;2595.11;16.02;34.37;51.29;8.68;5.25;8.30;87.98;0.05;93.45;-12.11913;-77.02885;1004.84;16.76
106;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 09:00;2578.14;14.44;29.19;50.19;11.07;6.91;8.78;91.90;0.21;91.71;-12.11913;-77.02885;1005.00;17.10
107;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 10:00;2623.34;13.18;27.89;56.37;10.08;5.40;9.20;93.68;0.34;90.49;-12.11913;-77.02885;1005.03;17.38
108;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 11:00;2401.20;12.53;25.04;62.90;5.03;2.48;6.84;91.34;0.44;90.18;-12.11913;-77.02885;1004.94;17.49
109;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 12:00;2650.39;9.23;22.06;67.48;6.61;2.65;9.53;89.62;0.59;87.63;-12.11913;-77.02885;1004.47;18.27
110;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 13:00;2385.40;8.77;18.14;67.44;3.28;1.45;7.95;96.06;0.74;87.98;-12.11913;-77.02885;1003.73;18.33
111;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 14:00;2508.52;8.08;20.65;61.63;2.45;1.28;9.44;99.13;0.71;87.59;-12.11913;-77.02885;1003.14;18.51
112;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 15:00;2374.63;10.53;25.78;57.79;3.26;1.76;7.22;100.05;0.52;90.54;-12.11913;-77.02885;1002.38;17.95
113;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 16:00;2255.64;12.01;26.18;53.96;3.05;1.62;6.20;100.37;0.37;91.43;-12.11913;-77.02885;1001.72;17.61
114;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 17:00;2231.98;13.13;29.22;50.96;2.90;1.51;5.77;97.88;0.18;92.22;-12.11913;-77.02885;1001.80;17.36
115;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 18:00;2635.50;13.27;33.62;49.67;3.23;1.71;8.26;92.45;0.02;92.70;-12.11913;-77.02885;1002.28;17.38
116;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 19:00;2801.90;13.44;32.06;49.18;4.14;2.00;9.72;94.42;0.00;92.59;-12.11913;-77.02885;1002.96;17.36
117;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 20:00;2787.31;14.06;30.27;55.20;4.00;2.00;9.19;92.54;0.00;92.52;-12.11913;-77.02885;1003.56;17.22
118;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 21:00;2416.89;14.52;29.35;56.25;4.62;2.61;6.25;92.30;0.00;93.48;-12.11913;-77.02885;1004.03;17.06
119;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 22:00;2429.13;14.60;32.72;45.10;7.71;4.96;6.73;91.06;0.00;94.32;-12.11913;-77.02885;1004.37;17.05
120;10069;150122;PE;Subgerencia de Desarrollo Ambiental;5/06/2021 23:00;2292.12;14.67;33.68;35.78;11.19;7.04;6.06;76.74;0.00;94.55;-12.11913;-77.02885;1004.19;17.02
121;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 00:00;1966.49;15.36;30.17;36.28;10.22;6.61;4.03;74.02;0.00;95.96;-12.11913;-77.02885;1004.01;16.82
122;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 01:00;1988.69;15.26;29.85;31.83;9.02;6.40;4.00;72.06;0.00;96.10;-12.11913;-77.02885;1003.96;16.84
123;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 02:00;1966.89;15.81;28.04;24.05;8.60;6.91;4.29;64.12;0.00;96.10;-12.11913;-77.02885;1003.78;16.71
124;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 03:00;1901.70;16.58;26.73;31.61;6.18;4.10;3.70;66.55;0.00;96.10;-12.11913;-77.02885;1003.43;16.53
125;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 04:00;1787.69;17.78;26.37;44.91;4.39;2.53;2.79;61.44;0.00;96.10;-12.11913;-77.02885;1003.41;16.25
126;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 05:00;1765.07;18.69;27.35;36.36;5.23;3.33;3.11;59.02;0.00;96.10;-12.11913;-77.02885;1003.41;16.04
127;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 06:00;1918.25;17.41;26.69;24.04;6.01;4.25;4.67;82.92;0.00;96.10;-12.11913;-77.02885;1003.40;16.34
128;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 07:00;1934.01;17.18;29.68;20.99;6.67;4.62;4.56;76.36;0.00;96.10;-12.11913;-77.02885;1003.72;16.40
129;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 08:00;2031.99;16.45;29.15;22.47;5.47;4.25;5.45;78.40;0.05;96.10;-12.11913;-77.02885;1004.69;16.58
130;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 09:00;1994.66;14.84;24.74;36.51;3.19;2.34;4.86;78.14;0.17;95.06;-12.11913;-77.02885;1005.66;16.93
131;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 10:00;2113.76;10.47;19.17;45.37;2.16;1.41;6.17;81.90;0.34;89.77;-12.11913;-77.02885;1005.65;17.92
132;10069;150122;PE;Subgerencia de Desarrollo Ambiental;6/06/2021 11:00;2388.39;9.65;21.80;41.92;2.77;1.88;8.08;83.95;0.32;89.08;-12.11913;-77.02885;1005.25;18.15
